91.2	94.3	180
83.4	90.4	160
76.7	88.8	180
57.8	91.4	190
75.6	91.4	120
57.8	88	180
51.1	88.9	170
30	90.6	160
30	99.4	190
42.2	78.1	130
58.9	92.7	160
62.3	93.2	200
50	78.9	200
44.5	86.7	160
55.6	71.2	150
63.3	40.1	200
52.3	67.3	140
72.3	64.7	120
82.3	66	100
85.6	71.2	120
82.3	67.3	150
85.6	58.2	200
79	40.1	120
85.6	60.8	100
83.4	59.5	170
85.6	55.6	120
77.9	51.7	140
61.2	45.3	140
70.1	45.3	160
50	71.7	200
51.1	38.8	150
43.4	29.7	140
52.3	78.4	200
44.5	75.8	150
58.9	34.9	140
82.2	44.4	140
73.3	27.1	100
52.3	16.8	200
66	93.6	140
62.2	82.9	120
71.1	52.9	140
76.1	35.1	150
81.1	22	130
55.1	22	100
67	38.8	180
78.9	46.6	100
76.7	27.1	170
84.4	25.8	150
78.9	93.2	190
67.8	116.5	130
45.6	32.3	130
52.2	120.4	150
55.6	80.2	180
68.9	42.7	170
72.3	19.4	120
44.5	36	120
55.5	12.9	140
58.9	24.6	160
80.1	28.4	190
67.8	31	190
74.5	15.5	140
47.8	25.8	180
91.2	124.3	120
74.5	46.6	110
57.7	38.8	180
53.3	65.9	160
57.8	27.1	100
81.1	48.8	170
66.5	38.8	110
78.9	42.9	170
60	53	170
74.4	35.7	170
